City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,happy valley-goose bay,53.3168,-60.3315,-1.89,78,20,3.44,CA,1707262525
1,waitangi,-43.9535,-176.5597,65.82,95,98,23.4,NZ,1707262275
2,petropavlovsk-kamchatsky,53.0452,158.6483,14.59,81,75,8.95,RU,1707262308
3,port-aux-francais,-49.35,70.2167,43.48,92,100,22.48,TF,1707262526
4,kolonia town,6.964,158.206,84.31,83,100,17.27,FM,1707262526
5,grytviken,-54.2811,-36.5092,47.91,62,8,4.63,GS,1707262527
6,lebu,-37.6167,-73.65,64.58,91,74,2.8,CL,1707262527
7,invercargill,-46.4,168.35,61.02,73,45,15.01,NZ,1707262527
8,bethel,41.3712,-73.414,35.55,61,0,0.0,US,1707262528
9,margaret river,-33.95,115.0667,69.94,48,0,10.85,AU,1707262528
10,jamestown,42.097,-79.2353,35.24,68,0,8.05,US,1707262435
11,sandnessjoen,66.0217,12.6316,5.52,85,49,13.51,NO,1707262529
12,cabo san lucas,22.8909,-109.9124,81.61,59,40,14.97,MX,1707262529
13,hamilton,39.1834,-84.5333,46.44,62,20,4.61,US,1707262387
14,olonkinbyen,70.9221,-8.7187,26.31,89,57,21.72,SJ,1707262530
15,adamstown,-25.066,-130.1015,76.51,84,56,11.05,PN,1707262273
16,blackmans bay,-43.0167,147.3167,65.52,54,98,3.0,AU,1707262531
17,yuzhno-kurilsk,44.0306,145.8556,16.38,81,69,5.32,RU,1707262531
18,salekhard,66.53,66.6019,-17.52,100,100,1.52,RU,1707262531
19,santiago de cao,-7.9589,-79.2392,77.13,88,40,6.91,PE,1707262532
20,puerto natales,-51.7236,-72.4875,54.32,73,97,1.41,CL,1707262532
21,puerto deseado,-47.7503,-65.8938,69.55,40,87,23.2,AR,1707262288
22,enewetak,11.3474,162.3373,79.93,81,76,15.35,MH,1707262299
23,port mathurin,-19.6833,63.4167,80.6,69,55,16.71,MU,1707262533
24,thompson,55.7435,-97.8558,-0.24,71,75,11.5,CA,1707262533
25,ulladulla,-35.35,150.4667,66.47,63,38,11.63,AU,1707262534
26,mugia,43.1041,-9.2179,56.91,92,100,21.83,ES,1707262534
27,roma,43.2128,-75.4557,34.66,64,0,4.61,US,1707262238
28,whitehorse,60.7161,-135.0538,3.97,85,100,5.75,CA,1707262535
29,tiksi,71.6872,128.8694,-17.18,99,97,6.58,RU,1707262535
30,anadyr,64.75,177.4833,-8.9,76,20,15.66,RU,1707262535
31,amos,48.5669,-78.1162,29.26,93,100,6.33,CA,1707262536
32,port augusta,-32.5,137.7667,73.11,30,0,10.67,AU,1707262291
33,mansa,29.9833,75.3833,45.07,58,35,4.97,IN,1707262536
34,bilibino,68.0546,166.4372,-31.0,100,100,0.67,RU,1707262537
35,kapa'a,22.0752,-159.319,82.38,70,20,17.27,US,1707262250
36,puerto ayora,-0.7393,-90.3518,78.49,83,70,9.1,EC,1707262537
37,charters towers,-20.1,146.2667,86.61,51,29,7.9,AU,1707262538
38,longyearbyen,78.2186,15.6401,17.44,62,40,14.97,SJ,1707262538
39,homer,59.6425,-151.5483,36.03,89,64,4.47,US,1707262319
40,ain fakroun,35.9711,6.8737,48.85,42,76,5.88,DZ,1707262539
41,nyurba,63.2842,118.3319,-18.35,99,99,2.64,RU,1707262539
42,san patricio,28.017,-97.5169,68.72,56,0,8.25,US,1707262539
43,codrington,-38.2667,141.9667,63.68,68,62,8.95,AU,1707262540
44,carnarvon,-24.8667,113.6333,86.72,39,4,14.7,AU,1707262299
45,ushuaia,-54.8,-68.3,64.06,36,0,5.75,AR,1707262276
46,acarau,-2.8856,-40.12,81.66,80,73,15.86,BR,1707262541
47,nyuzen,36.9333,137.5,36.46,93,100,9.78,JP,1707262541
48,reggane,26.7158,0.1714,59.81,23,4,8.72,DZ,1707262541
49,wailua homesteads,22.0669,-159.378,81.03,71,20,17.27,US,1707262400
50,seryshevo,51.0933,128.3786,-1.35,92,85,2.3,RU,1707262542
51,safford,32.834,-109.7076,63.52,29,100,9.22,US,1707262542
52,ilulissat,69.2167,-51.1,14.02,48,100,23.02,GL,1707262543
53,gonabad,34.3529,58.6837,44.29,42,0,8.05,IR,1707262543
54,alice springs,-23.7,133.8833,74.21,65,40,13.8,AU,1707262544
55,nuuk,64.1835,-51.7216,20.88,62,100,10.0,GL,1707262544
56,albany,42.6001,-73.9662,32.34,71,5,2.84,US,1707262351
57,lockwood,45.8191,-108.4149,45.64,74,75,6.91,US,1707262544
58,chibougamau,49.9168,-74.3659,24.42,68,100,9.22,CA,1707262545
59,kyaikkami,16.08,97.5675,70.59,66,2,7.23,MM,1707262545
60,ketchikan,55.3422,-131.6461,37.87,75,100,0.0,US,1707262531
61,sechura,-5.5569,-80.8222,83.23,61,38,15.43,PE,1707262546
62,kittila,67.6647,24.8936,-7.38,77,75,2.3,FI,1707262546
63,lompoc,34.6391,-120.4579,57.78,65,75,16.11,US,1707262274
64,paulden,34.8856,-112.4682,43.39,83,100,11.99,US,1707262547
65,pisco,-13.7,-76.2167,80.65,65,0,14.97,PE,1707262548
66,zemetchino,53.4973,42.6163,17.85,95,92,8.14,RU,1707262548
67,vila velha,-20.3297,-40.2925,75.15,92,0,4.0,BR,1707262502
68,haiku-pauwela,20.9219,-156.3051,79.25,59,40,26.46,US,1707262549
69,bokhan,53.153,103.7714,-7.51,100,37,2.68,RU,1707262549
70,kivertsi,50.8343,25.4582,45.14,82,100,23.38,UA,1707262550
71,constantia,44.1833,28.65,50.7,61,45,10.25,RO,1707262550
72,beledweyne,4.7358,45.2036,79.59,67,87,8.99,SO,1707262550
73,zvolen,48.5744,19.1532,41.5,84,79,8.88,SK,1707262551
74,atafu village,-8.5421,-172.5159,83.62,80,99,25.93,TK,1707262306
75,calama,-22.4667,-68.9333,64.89,68,75,17.27,CL,1707262552
76,vihari,30.0333,72.35,52.34,37,57,3.56,PK,1707262552
77,praia da vitoria,38.7333,-27.0667,63.75,88,75,27.18,PT,1707262303
78,yulinshi,38.2906,109.7494,14.9,84,23,4.56,CN,1707262552
79,west island,-12.1568,96.8225,80.58,78,40,8.05,CC,1707262302
80,huarmey,-10.0681,-78.1522,78.12,76,21,9.82,PE,1707262553
81,yatou,37.15,122.3833,26.89,70,0,16.73,CN,1707262553
82,aykhal,66.0,111.5,-22.31,100,99,5.44,RU,1707262554
83,iqaluit,63.7506,-68.5145,-4.27,59,0,12.66,CA,1707262554
84,sept-iles,50.2001,-66.3821,23.0,75,20,3.44,CA,1707262262
85,colonia,50.9333,6.95,54.25,76,75,20.71,DE,1707262555
86,tralee,52.2704,-9.7026,40.01,87,99,5.08,IE,1707262556
87,ntchisi,-13.5278,33.9149,60.06,97,99,4.83,MW,1707262556
88,sonoita,31.85,-112.8333,56.43,81,95,24.61,MX,1707262556
89,newman,37.3138,-121.0208,55.74,79,80,8.99,US,1707262557
90,khalkhal,37.6189,48.5258,25.61,89,24,6.85,IR,1707262557
91,ribeira grande,38.5167,-28.7,63.77,94,90,20.0,PT,1707262557
92,blairgowrie,56.5916,-3.3405,35.02,80,98,1.01,GB,1707262558
93,pudozh,61.8099,36.5345,-16.06,100,73,4.0,RU,1707262558
94,kupang,-10.1667,123.5833,81.18,100,40,2.3,ID,1707262558
95,badger,64.8,-147.5333,14.13,76,20,4.61,US,1707262559
96,pangai,-19.8,-174.35,84.31,70,75,10.36,TO,1707262559
97,dunedin,-45.8742,170.5036,64.8,62,91,8.99,NZ,1707262281
98,katsuura,35.1333,140.3,43.07,66,98,11.72,JP,1707262304
99,port sudan,19.6175,37.2164,67.5,58,31,12.08,SD,1707262344
100,mezhdurechenskiy,59.6,65.9333,32.45,90,100,9.82,RU,1707262561
101,arraial do cabo,-22.9661,-42.0278,80.46,83,75,2.3,BR,1707262561
102,papatowai,-46.5619,169.4708,61.95,51,46,11.56,NZ,1707262561
103,la passe,45.5549,-0.8967,50.99,95,77,12.5,FR,1707262562
104,soeng sang,14.4264,102.4606,73.58,75,0,3.18,TH,1707262562
105,hawaiian paradise park,19.5933,-154.9731,76.87,74,100,18.41,US,1707262562
106,isafjordur,66.0755,-23.124,26.06,89,100,16.82,IS,1707262563
107,yellowknife,62.456,-114.3525,0.55,75,100,13.8,CA,1707262502
108,sao joao da barra,-21.6403,-41.0511,75.29,89,100,5.95,BR,1707262563
109,ha'il,27.5219,41.6907,44.62,49,0,2.3,SA,1707262564
110,lazaro cardenas,17.9583,-102.2,80.55,67,4,6.93,MX,1707262564
111,okhotsk,59.3833,143.3,-8.66,80,100,8.93,RU,1707262564
112,soure,-0.7167,-48.5233,80.37,85,46,10.67,BR,1707262565
113,kodiak,57.79,-152.4072,38.71,56,0,13.8,US,1707262565
